,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
170,0.761,0.781,-6.778,0.141,0.0681,0.108,0.0607,0.473,123.023,5Z8Dj3LtbyCMiwE86rhg2f,285375
171,0.609,0.912,-6.593,0.0391,0.0196,0.478,0.133,0.0391,135.027,1eMUGMEWrvTXYWrPobq2dH,204444
172,0.656,0.655,-6.766,0.024,0.02,0.00816,0.103,0.555,127.001,3I10tZ5MgEMo4WryCNJkZQ,230946
173,0.695,0.781,-5.578,0.0452,0.0185,3.12e-05,0.295,0.456,124.04,4xMbBESczlHPUO8QeYi56p,148960
174,0.628,0.738,-5.045,0.0367,0.0156,0.281,0.153,0.699,125.928,4vyG9ZhHT8MKJE5mTICMFC,162879
175,0.747,0.616,-9.76,0.0324,0.176,0.116,0.143,0.908,131.975,5u4hhtZ7f4rWkMZEZcTKrH,192151
176,0.605,0.874,-4.949,0.0295,0.000563,0.812,0.112,0.836,125.99,0F2BxpbxH8Yc3pLub48hrb,157432
177,0.735,0.72,-7.04,0.336,0.00105,0.15,0.382,0.364,124.174,303ccTay2FiDTZ9fZ2AdBt,403293
178,0.665,0.727,-8.073,0.0391,0.00984,0.394,0.172,0.397,133.922,31B7wLv4yvtjDoTTmbnxeE,198806
179,0.811,0.833,-4.259,0.153,0.014,2.06e-05,0.0769,0.567,120.258,4t0UsYzmmmZRMTWn77jiGF,252107
180,0.801,0.96,-5.534,0.264,0.0284,0.877,0.0985,0.101,126.045,7jURkEKDVEm9sHueqUX0ko,217411
181,0.748,0.908,-8.319,0.0504,0.0588,0.894,0.0943,0.0576,130.004,6R84ZlQF7gGkPB6o3GLZXB,489480
182,0.797,0.88,-5.722,0.0442,0.00298,0.574,0.183,0.357,125.996,2FEUloDXMvRnyfLcsrCfkw,157619
183,0.71,0.63,-7.003,0.0413,0.00879,0.147,0.058,0.216,125.0,48Jf12YHPBCAfAzi255Rvr,242880
184,0.609,0.94,-6.097,0.0617,0.00124,0.269,0.15,0.238,128.001,6txvQu0zUbiqG24A8XMLnK,188592
185,0.761,0.867,-6.168,0.0499,0.259,0.615,0.0689,0.679,126.03,2qRKTg13LJGHO4fmQTWT7x,185896
186,0.784,0.888,-6.617,0.165,0.0158,0.892,0.169,0.13,135.995,1tkS8yt5NwTZkqFvZMxM0F,360000
187,0.636,0.892,-5.573,0.0386,0.000422,0.0954,0.156,0.456,125.003,2XKsHHNCtKqk9cF35TRFyC,125280
188,0.771,0.729,-6.577,0.0408,0.00161,0.672,0.217,0.63,123.027,54hA0ldJYyT1huGfSeOjdQ,189268
189,0.817,0.876,-7.485,0.046,0.0332,0.199,0.412,0.671,131.022,0hJfuyUwtEYMlGgvr3nzz9,289472
190,0.702,0.912,-8.687,0.0652,0.0773,0.309,0.0926,0.957,128.018,33tYADyL2aZctrvR59K1bQ,200551
191,0.576,0.953,-8.968,0.0362,0.00106,0.49,0.474,0.303,140.042,7xQYVjs4wZNdCwO0EeAWMC,456480
192,0.814,0.874,-5.316,0.0425,0.000222,0.522,0.276,0.434,123.992,1olCzMxaeiQKNO64ssWVGr,161041
193,0.716,0.917,-5.091,0.0331,0.123,0.396,0.0628,0.751,124.032,4O3APpGNhOldqDsPF8IaS5,160669
194,0.812,0.796,-10.548,0.0356,0.00826,0.921,0.365,0.961,125.976,5krhFNgUcYHwXlNPJJYzFM,249679
195,0.907,0.707,-7.627,0.185,0.00983,0.444,0.166,0.566,129.097,26zt79lTciS4tfncBX1qPV,141395
