,Unnamed: 0,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
6,6,0.551,0.819,-4.489,0.0525,0.0103,0.0437,0.153,0.846,174.917,2DrGEaqoruCSn0FffWCf5O,137760
7,7,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,57Xjny5yNzAcsxnusKmAfA,219827
8,8,0.489,0.769,-3.524,0.038,0.00135,0.56,0.0727,0.637,128.985,4absiGHMelB8eH976ytjBj,215827
9,9,0.368,0.936,-3.207,0.0623,0.0146,0.00192,0.0923,0.568,164.427,2EtZFeLn9msgg4qJzT9Vql,203733
10,10,0.401,0.933,-5.682,0.0344,0.00744,0.627,0.318,0.734,127.193,0xOeB16JDbBJBJKSdHbElT,310893
11,11,0.531,0.711,-4.933,0.0398,0.000204,0.00291,0.108,0.279,155.068,5ykbOijJEfRhuo2Td1m0Qd,256307
12,12,0.542,0.531,-7.481,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,56NkIxSZZiMpFP5ZNSxtnT,183391
13,13,0.416,0.827,-5.177,0.0384,0.00428,0.000242,0.277,0.87,169.902,47TQjzeG4KI0XWWb0wkbri,236712
14,14,0.634,0.599,-5.447,0.0365,0.0288,0.0,0.197,0.312,112.215,2fyIS6GXMgUcSv4oejx63f,175440
15,15,0.331,0.961,-4.627,0.0663,0.000146,0.0,0.322,0.882,168.355,6gGSSrKMiV2yec1DrqGhhy,161720
16,16,0.356,0.872,-7.837,0.068,0.00417,0.00975,0.0997,0.607,166.3,5G1sTBGbZT5o4PNRc75RKI,193653
17,17,0.438,0.94,-3.249,0.0452,8.74e-05,0.0777,0.3,0.421,100.99,4iG2gAwKXsOcijVaVXzRPW,261000
18,18,0.459,0.883,-4.1,0.0476,0.000491,0.0267,0.118,0.338,147.943,1rcu88dzWE5GyqtpuWvd0C,237533
19,19,0.324,0.772,-6.95,0.0371,0.000609,0.173,0.12,0.291,135.737,51xBgzcyzojRpqFW2ICQAB,343627
20,20,0.591,0.939,-4.911,0.0533,0.000156,0.0111,0.0882,0.856,150.249,6U5hUX40OWY6l0HaPUWElZ,200400
21,21,0.545,0.873,-5.193,0.0825,0.0263,9.1e-05,0.145,0.748,150.841,2Uf9WTBWMA8S9Lh3k3Rui6,208973
22,22,0.535,0.948,-4.19,0.0356,0.00225,0.0,0.376,0.778,103.183,3DQVgcqaP3iSMbaKsd57l5,173680
23,23,0.624,0.91,-5.703,0.0297,0.0285,0.000198,0.0789,0.767,104.042,7kzKAuUzOITUauHAhoMoxA,193051
24,24,0.37,0.941,-4.783,0.0602,5.26e-05,0.675,0.0732,0.382,120.501,2urZOEgVXM7rj59Ui0FuNn,251547
25,25,0.446,0.91,-4.481,0.0652,0.000254,9.76e-05,0.077,0.325,133.053,1B241LRKmK6qDDTZfUajmm,236887
26,26,0.41,0.803,-5.363,0.0623,0.239,0.0,0.103,0.814,153.315,5xoUgPXbMNUmoHU0Enwtwq,169307
27,27,0.596,0.894,-5.407,0.0265,0.00878,0.00659,0.104,0.572,132.994,36PQh1G6h7n9VWB799fXpI,260387
28,28,0.395,0.979,-3.241,0.0766,0.0243,0.0,0.12,0.41,158.842,75D3n6wnFQmu1HVmLAlWM4,233187
29,29,0.579,0.917,-5.4,0.048,0.0306,0.000579,0.143,0.387,121.989,11EOvxJRG665bwRU0z6YVa,190867
30,30,0.502,0.941,-5.194,0.0716,0.000346,0.319,0.553,0.124,119.783,0hDQV9X1Da5JrwhK8gu86p,219987
31,31,0.451,0.931,-3.871,0.0719,0.00076,0.0049,0.361,0.172,122.961,1jJci4qxiYcOHhQR247rEU,302840
32,32,0.654,0.828,-5.377,0.0281,0.00146,0.000144,0.122,0.79,112.056,2x8evxqUlF0eRabbW2JBJd,183893
33,33,0.585,0.717,-8.379,0.0311,0.0561,0.0148,0.366,0.636,111.563,7uMZy0bALAdneerERyr7Ks,450984
34,34,0.526,0.723,-5.59,0.0294,0.3,0.00698,0.058,0.744,159.685,04uR2cdkgiaLIzebPcs25m,246213
35,35,0.555,0.881,-2.332,0.0332,0.0598,0.628,0.369,0.676,118.671,74tnaKUsXIXeY3ryb9pfjG,247907
36,36,0.471,0.75,-4.864,0.196,3.13e-05,0.103,0.271,0.652,162.944,4N90LxX3kWhJucPQ484Qy9,175907
37,37,0.452,0.805,-4.368,0.0299,0.00551,3.18e-06,0.221,0.708,114.431,6gaWfLDoeG1eoiDAVBN4i8,246120
38,38,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,086myS9r57YsLbJpU0TgK9,161124
39,39,0.211,0.849,-3.994,0.116,0.00605,0.000436,0.263,0.59,175.616,4KspXoCVJXGY1VrvEe1Hdm,180267
40,40,0.463,0.836,-2.776,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,6BqWhxll86CGGE6WxgdRqG,165120
41,41,0.231,0.919,-6.182,0.0722,0.00313,0.00442,0.0643,0.128,146.94,78tgXRq9Q6tPNP9hKCpgwB,300720
42,42,0.659,0.591,-6.713,0.0313,0.441,0.000861,0.0862,0.707,121.14,73M2Vb5MfZh8iGKudkMtlw,245640
43,43,0.348,0.875,-4.758,0.199,0.0341,0.0,0.117,0.407,169.152,2zzLRQ78kKfPTx8FJQCdC2,202133
44,44,0.647,0.532,-5.464,0.0282,0.0112,0.000271,0.1,0.621,96.979,5cIWkWH6xVdEllQ9ksuu2E,187720
45,45,0.421,0.95,-4.603,0.0662,0.00145,1.1e-05,0.245,0.472,160.02,7MfNoHB8JRNbSQ8P3eAfMQ,192120
46,46,0.509,0.922,-2.823,0.031,0.0219,0.00117,0.496,0.645,92.5,3IXRdLsQib8m0hBbQpe7T8,218787
47,47,0.699,0.812,-6.005,0.0377,0.0164,0.000763,0.105,0.662,138.185,4dyx5SzxPPaD8xQIid5Wjj,276693
48,48,0.699,0.6,-6.328,0.134,0.00231,0.00963,0.114,0.586,142.037,7lnXzMcgaK7CnzaQ7wj6k0,148092
49,49,0.637,0.963,-5.116,0.0882,0.000286,0.000889,0.0449,0.823,150.1,5kxVyCgEUND7E2QKG7JmoF,165000
0,0,0.574,0.807,-5.319,0.0348,0.00117,0.0,0.127,0.656,134.972,3lHh76erVVIK364LN7KBRr,183852
1,1,0.601,0.37,-10.543,0.0343,0.834,5.93e-05,0.112,0.455,121.934,3B4eW2VXGdOdsbTyfF5oDE,233499
2,2,0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,2L9N0zZnd37dwF0clgxMGI,182888
3,3,0.733,0.721,-9.131,0.128,0.0135,0.00103,0.125,0.602,144.975,2hGchv7KYaINz9Z1qzufNm,137187
4,4,0.698,0.635,-9.093,0.0411,0.0766,0.00303,0.0983,0.273,105.995,5je2hi3IPkN0DnDKYpZWds,212065
5,5,0.656,0.838,-8.407,0.041,0.25,0.00281,0.207,0.74,132.981,3NanY0K4okhIQzL33U5Ad8,131253
6,6,0.651,0.508,-6.543,0.0324,0.428,1.22e-06,0.113,0.548,100.085,4whpHwKr9rH2MTFzXk7mkW,187100
7,7,0.392,0.541,-8.68,0.0641,0.102,1.02e-05,0.288,0.447,181.866,3PzeZR8CqtwXmSn5AVao7J,306656
8,8,0.617,0.901,-2.863,0.043,0.237,9.04e-05,0.55,0.617,100.012,4lAasiKJZR4CkDygazvpvB,155998
9,9,0.601,0.876,-2.75,0.0661,0.141,0.000919,0.13,0.622,129.996,6DcI73tbK4PoyI3GGV4zZS,179006
10,10,0.329,0.444,-9.973,0.0417,0.0578,0.0352,0.113,0.225,162.279,1170VohRSx6GwE6QDCHPPH,282206
11,11,0.492,0.807,-3.677,0.0854,0.205,0.00275,0.384,0.477,107.087,6luBKkFUt5wTwz7hpLhp12,229805
12,12,0.669,0.52,-9.599,0.032,0.198,0.0947,0.26,0.636,142.512,1Gvnzb3F9LghE6vaPC1qhI,189284
13,13,0.471,0.773,-6.862,0.0478,0.142,0.289,0.224,0.527,166.945,1PZhJNvdDjpsjZWrkfgff4,203876
14,14,0.612,0.598,-8.005,0.056,0.135,0.00423,0.106,0.186,179.965,1WdudtCCuMjsLNGgZwR1gd,173333
15,15,0.533,0.74,-5.767,0.0359,0.089,2.95e-06,0.337,0.465,89.934,2e2AXpIiJpet5b4qg85Gh6,185040
16,16,0.312,0.966,-1.431,0.123,0.0846,7.83e-06,0.235,0.454,89.514,6cJSXxvl9l94huIUIqsEQo,198027
17,17,0.51,0.934,-6.383,0.0406,0.218,0.00567,0.0747,0.74,156.861,0Mrm083tqUaTGUkiluSORf,240000
18,18,0.646,0.85,-5.466,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,14dJexYlvd3t3XAtD1pYW1,212568
19,19,0.664,0.5,-6.935,0.0651,0.799,0.0,0.0966,0.801,117.896,0GNVXNz7Jkicfk2mp5OyG5,182347
20,20,0.548,0.456,-5.979,0.0703,0.813,0.00464,0.122,0.53,173.839,31Wlc9ZnraX3JxrvMg9e8H,209188
21,21,0.765,0.582,-4.528,0.12,0.245,8.21e-05,0.154,0.36,132.992,0PLhwCmQ7cC3ThRGPn3HxF,171280
22,22,0.404,0.268,-9.631,0.0341,0.583,0.0,0.102,0.124,134.587,4WjxtORnwPavm5PDsAWJEc,268433
23,23,0.54,0.11,-19.885,0.0328,0.498,0.000614,0.0781,0.172,76.068,7LNm1oWd6PniO9wRYpNY5o,290132
